# Assembly Statistics Report
# Assembly name:  AaraD3
# Organism name:  Anopheles arabiensis (mosquitos)
# Isolate:  DONGOLA
# Sex:  male
# Taxid:          7173
# BioSample:      SAMN14999448
# BioProject:     PRJNA634549
# Submitter:      Virginia Tech
# Date:           2021-03-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADFTQ01
# Assembly method: Canu v. 1.8
# Expected final version: yes
# Genome coverage: 114.0x
# Sequencing technology: Oxford Nanopore MinION
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_016920715.1
# RefSeq assembly accession: GCF_016920715.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016920735.1	GCF_016920735.1	Primary Assembly
## GCA_016920755.1	GCF_017564265.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	256823338
all	all	all	all	spanned-gaps	17
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	102
all	all	all	all	scaffold-N50	95710210
all	all	all	all	scaffold-L50	2
all	all	all	all	scaffold-N75	95710210
all	all	all	all	scaffold-N90	26913133
all	all	all	all	contig-count	119
all	all	all	all	contig-N50	23935993
all	all	all	all	contig-L50	4
all	all	all	all	total-gap-length	1700
all	all	all	all	molecule-count	5
all	all	all	all	top-level-count	102
all	all	all	all	component-count	102
all	all	all	all	gc-perc	44.5
Primary Assembly	all	all	all	total-length	256807969
Primary Assembly	all	all	all	ungapped-length	256806269
Primary Assembly	all	all	all	scaffold-count	101
Primary Assembly	all	all	all	scaffold-N50	95710210
Primary Assembly	all	all	all	spanned-gaps	17
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44.5
Primary Assembly	all	all	assembled-molecule	total-length	234611697
Primary Assembly	all	all	assembled-molecule	ungapped-length	234609997
Primary Assembly	all	all	assembled-molecule	scaffold-count	3
Primary Assembly	all	all	assembled-molecule	scaffold-N50	95710210
Primary Assembly	all	all	assembled-molecule	spanned-gaps	17
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	15502907
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	15502907
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	74
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	365581
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	46.5
Primary Assembly	na	na	unplaced-scaffold	total-length	6693365
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	6693365
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	24
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	361753
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38.5
Primary Assembly	Y	Chromosome	all	total-length	619478
Primary Assembly	Y	Chromosome	all	ungapped-length	619478
